sample_percent,n_train,mean,std
0.1,2.0,1.031405167626971,0.4244279837913375
1.0,27.0,0.6195824029395793,0.09138195401037415
5.0,139.0,0.403475557065489,0.022993582161478
10.0,279.0,0.355534789750594,0.021870869819701686
25.0,698.0,0.29569780970390286,0.018561398793687952
50.0,1396.0,0.26700416562428597,0.017414906018465886
100.0,2793.0,0.24509121630277328,0.014489989689387086
