inference_rule,n_train,num_LFs,seed,test_tau
true_label,500.0,0.0,3.0,0.1883003115653992
true_label,3000.0,0.0,1.0,0.16279956698417666
true_label,5000.0,0.0,3.0,0.14769959449768064
true_label,3000.0,0.0,2.0,0.1596996784210205
true_label,5000.0,0.0,0.0,0.1560002863407135
true_label,2500.0,0.0,4.0,0.16780033707618713
true_label,2500.0,0.0,1.0,0.1615998148918152
true_label,1500.0,0.0,0.0,0.17179983854293826
true_label,3000.0,0.0,4.0,0.16549977660179138
true_label,500.0,0.0,2.0,0.1804007589817047
true_label,2500.0,0.0,2.0,0.17280009388923645
true_label,1500.0,0.0,3.0,0.16670045256614685
true_label,2500.0,0.0,0.0,0.1624997854232788
true_label,5000.0,0.0,4.0,0.1604994237422943
true_label,1500.0,0.0,1.0,0.16489967703819275
true_label,500.0,0.0,0.0,0.191500723361969
true_label,2500.0,0.0,3.0,0.15549957752227786
true_label,1500.0,0.0,2.0,0.16389942169189453
true_label,3000.0,0.0,0.0,0.1581999659538269
true_label,5000.0,0.0,2.0,0.1481996774673462
true_label,500.0,0.0,1.0,0.17680007219314575
true_label,3000.0,0.0,3.0,0.1512998640537262
true_label,1500.0,0.0,4.0,0.17329970002174375
true_label,5000.0,0.0,1.0,0.15530025959014893
true_label,2000.0,0.0,4.0,0.16520079970359802
true_label,500.0,0.0,4.0,0.1897002756595612
true_label,1000.0,0.0,3.0,0.1818004548549652
true_label,2000.0,0.0,2.0,0.16189956665039062
true_label,4000.0,0.0,0.0,0.15469950437545776
true_label,1000.0,0.0,0.0,0.17749997973442078
true_label,2000.0,0.0,1.0,0.1666000783443451
true_label,4000.0,0.0,3.0,0.1563996970653534
true_label,1000.0,0.0,2.0,0.16430029273033142
true_label,2000.0,0.0,3.0,0.16610011458396912
true_label,4000.0,0.0,1.0,0.15589919686317444
true_label,1000.0,0.0,1.0,0.16630014777183533
true_label,2000.0,0.0,0.0,0.17260006070137024
true_label,4000.0,0.0,2.0,0.15700030326843262
true_label,1000.0,0.0,4.0,0.17070040106773374
true_label,4000.0,0.0,4.0,0.16450011730194092
true_label,500.0,0.0,4.0,0.18689998984336853
true_label,2500.0,0.0,1.0,0.16329994797706604
true_label,2500.0,0.0,3.0,0.16209998726844788
true_label,5000.0,0.0,4.0,0.1629999876022339
true_label,5000.0,0.0,0.0,0.15629997849464414
true_label,500.0,0.0,2.0,0.19370001554489136
true_label,250.0,0.0,3.0,0.1884999871253968
true_label,1000.0,0.0,1.0,0.17080000042915344
true_label,1000.0,0.0,3.0,0.17030000686645508
true_label,500.0,0.0,0.0,0.1825999617576599
true_label,250.0,0.0,1.0,0.18939995765686035
