inference_rule,n_train,num_LFs,seed,test_tau
true_label,2500.0,0.0,4.0,0.2521000951528549
true_label,4000.0,0.0,4.0,0.2527001053094864
true_label,500.0,0.0,4.0,0.28370000422000885
true_label,5000.0,0.0,4.0,0.2391000986099243
true_label,3000.0,0.0,3.0,0.2612001150846481
true_label,2500.0,0.0,3.0,0.25880005955696106
true_label,1500.0,0.0,4.0,0.25300000607967377
true_label,1000.0,0.0,4.0,0.2713001668453217
true_label,1500.0,0.0,3.0,0.26040010154247284
true_label,5000.0,0.0,3.0,0.2556000053882599
true_label,500.0,0.0,3.0,0.27599990367889404
true_label,3000.0,0.0,4.0,0.242600291967392
true_label,4000.0,0.0,3.0,0.2568001449108124
true_label,2000.0,0.0,4.0,0.25510016083717346
true_label,1000.0,0.0,3.0,0.2722003161907196
true_label,2000.0,0.0,3.0,0.26580023765563965
true_label,5000.0,0.0,2.0,0.24400073289871216
true_label,3000.0,0.0,0.0,0.25510096549987793
true_label,5000.0,0.0,1.0,0.2618007957935333
true_label,500.0,0.0,1.0,0.28300026059150696
true_label,2500.0,0.0,0.0,0.24890097975730896
true_label,1500.0,0.0,1.0,0.2682007849216461
true_label,500.0,0.0,0.0,0.290100559592247
true_label,1500.0,0.0,2.0,0.26710084080696106
true_label,2500.0,0.0,1.0,0.25940053164958954
true_label,500.0,0.0,2.0,0.3062000721693039
true_label,1500.0,0.0,0.0,0.25110048055648804
true_label,2500.0,0.0,2.0,0.249200701713562
true_label,3000.0,0.0,1.0,0.25810068845748896
true_label,5000.0,0.0,0.0,0.2447009086608887
true_label,3000.0,0.0,2.0,0.24800050258636475
true_label,4000.0,0.0,1.0,0.25630031526088715
true_label,1000.0,0.0,2.0,0.2605006247758865
true_label,4000.0,0.0,2.0,0.24830088019371035
true_label,1000.0,0.0,1.0,0.2791008204221725
true_label,2000.0,0.0,0.0,0.26510049402713776
true_label,4000.0,0.0,0.0,0.2411010563373565
true_label,2000.0,0.0,2.0,0.25750094652175903
true_label,1000.0,0.0,0.0,0.2537008970975876
true_label,2000.0,0.0,1.0,0.2662004083395004
true_label,500.0,0.0,4.0,0.27790001034736633
true_label,2500.0,0.0,1.0,0.2574999928474426
